F,V,N_F,N_V,v,n,T,Y,other,X,kerulet,XYT,X^,Y^,T^
111,242,449,581,4.045045045045045,2.4008264462809916,145,64,17,16,1,225,0.07111111111111111,0.28444444444444444,0.6444444444444445
521,1089,2168,2756,4.161228406909789,2.5307621671258036,653,200,51,185,2,1038,0.17822736030828518,0.1926782273603083,0.6290944123314065
561,1283,2303,3153,4.105169340463458,2.4575214341387372,840,224,56,163,3,1227,0.1328443357783211,0.18255908720456399,0.684596577017115
391,717,1578,1870,4.035805626598465,2.608089260808926,446,70,30,171,4,687,0.24890829694323144,0.10189228529839883,0.6491994177583698
180,283,741,781,4.116666666666666,2.7597173144876326,156,37,15,75,5,268,0.2798507462686567,0.13805970149253732,0.582089552238806
108,166,435,468,4.027777777777778,2.819277108433735,86,16,1,63,6,165,0.38181818181818183,0.09696969696969697,0.5212121212121212
122,172,487,503,3.9918032786885247,2.9244186046511627,79,16,8,69,7,164,0.42073170731707316,0.0975609756097561,0.4817073170731707
191,325,775,860,4.057591623036649,2.646153846153846,186,44,20,75,8,305,0.2459016393442623,0.14426229508196722,0.6098360655737705
144,291,582,759,4.041666666666667,2.6082474226804124,175,39,14,63,9,277,0.22743682310469315,0.1407942238267148,0.631768953068592
339,695,1347,1735,3.9734513274336285,2.4964028776978417,465,75,28,127,10,667,0.1904047976011994,0.11244377811094453,0.697151424287856
564,1251,2358,3082,4.180851063829787,2.463629096722622,821,223,26,181,11,1225,0.14775510204081632,0.1820408163265306,0.6702040816326531
222,589,887,1437,3.9954954954954953,2.4397283531409166,326,169,31,63,12,558,0.11290322580645161,0.30286738351254483,0.5842293906810035
394,643,1605,1795,4.073604060913706,2.791601866251944,354,50,19,220,13,624,0.3525641025641026,0.08012820512820513,0.5673076923076923
542,931,2220,2500,4.095940959409594,2.6852846401718584,555,100,18,258,14,913,0.28258488499452356,0.10952902519167579,0.6078860898138007
357,623,1447,1692,4.053221288515406,2.715890850722311,352,69,20,182,15,603,0.3018242122719735,0.11442786069651742,0.5837479270315091
791,1288,3142,3467,3.972187104930468,2.6917701863354035,790,66,21,411,16,1267,0.324388318863457,0.05209155485398579,0.6235201262825573
929,1575,3698,4116,3.9806243272335844,2.6133333333333333,986,121,49,419,17,1526,0.2745740498034076,0.07929226736566186,0.6461336828309305
911,1511,3660,3967,4.017563117453348,2.625413633355394,952,109,31,419,18,1480,0.2831081081081081,0.07364864864864865,0.6432432432432432
369,578,1466,1686,3.97289972899729,2.916955017301038,291,39,26,222,19,552,0.40217391304347827,0.07065217391304347,0.5271739130434783
504,786,2013,2105,3.994047619047619,2.678117048346056,495,34,20,237,20,766,0.3093994778067885,0.044386422976501305,0.6462140992167101
492,923,2066,2317,4.199186991869919,2.5102925243770313,573,162,41,147,21,882,0.16666666666666666,0.1836734693877551,0.6496598639455783
493,1141,2031,2644,4.119675456389452,2.3172655565293603,842,161,21,117,22,1120,0.10446428571428572,0.14375,0.7517857142857143
187,442,740,1055,3.9572192513368982,2.3868778280542986,320,47,13,62,23,429,0.1445221445221445,0.10955710955710955,0.745920745920746
