name,lat,lon,osm_id
Tab,46.7351014,18.0375186,15731237
Villány,45.8697644,18.4555208,17502356
Pécs,46.0765092,18.2280317,17550787
Komló,46.1911673,18.2613778,18331125
Harkány,45.8477907,18.2359978,20938029
Letenye,46.433204,16.7230843,21371958
Kozármisleny,46.0478232,18.2857045,21495636
Bóly,45.9692795,18.5161494,21495982
Szekszárd,46.3484884,18.701663,25553427
Sopron,47.6803063,16.5983457,25913119
Kópháza,47.6384056,16.6431637,25913376
Sárvár,47.2517426,16.9342165,25914519
Tapolca,46.8820972,17.4389619,25915038
Kaposvár,46.3564692,17.7886886,25926749
Siklós,45.8521446,18.2983821,26234773
Jászberény,47.5030505,19.9117887,26734414
Eger,47.8989887,20.3743665,26757722
Tokaj,48.1235534,21.4113895,26757723
Debrecen,47.531399,21.6259782,26757724
Sümeg,46.9784329,17.2811657,26843041
Mágocs,46.349833,18.2285903,29530538
Komárom,47.7417349,18.1218256,29637688
Szeged,46.2546312,20.1486016,30453579
Makó,46.2150438,20.4751022,30848692
Kiszombor,46.1889728,20.4270576,30848693
Deszk,46.2179342,20.2388863,30848694
Domaszék,46.2451425,20.0034538,30848797
Mórahalom,46.2163238,19.8894811,30848800
Székkutas,46.5069679,20.5384334,31094676
Orosháza,46.5582801,20.6720146,31094677
Kunágota,46.4233892,21.0489809,31531669
Barcs,45.9605126,17.4634121,32188020
Rajka,47.997068,17.1960871,32319920
Hegyeshalom,47.9144882,17.1558011,32320211
Kecskemét,46.9073883,19.6917206,32443002
Békéscsaba,46.6798003,21.0985425,32444521
Gyula,46.6438656,21.2747575,32444954
Szalkszentmárton,46.9755241,19.0132851,32446633
Tass,47.0200511,19.0321758,32446634
Pomáz,47.6468212,19.0236304,59976001
Miskolc,48.1030643,20.7900429,64622559
Nyíregyháza,47.9557802,21.7167982,64627511
Szentendre,47.6677606,19.0760467,73993229
Budakalász,47.6192785,19.0468565,73993237
Pilisszentkereszt,47.6931455,18.9024298,73993250
Öcsöd,46.9012341,20.3897025,75716563
