cityname,ksh_kod,jogallas,megye,jaras_kod,jaras,jaras_szekhely,polgi_kod,polgi_szekhely,terulet_ha,nepesseg,lakasok
Aba,17376,város,Fejér,085 0,Székesfehérvári,Székesfehérvár,1,–,8805,4371,1570
Abádszalók,12441,város,Jász-Nagykun-Szolnok,164 0,Kunhegyesi,Kunhegyes,2,[Helyben],13223,3727,2018
Abaliget,12548,község,Baranya,028 0,Pécsi,Pécs,5,Orfű,1609,596,286
Abasár,24554,község,Heves,106 0,Gyöngyösi,Gyöngyös,1,–,2082,2473,1175
Abaújalpár,15662,község,Borsod-Abaúj-Zemplén,057 0,Gönci,Gönc,5,Abaújkér,848,73,54
Abaújkér,26718,község,Borsod-Abaúj-Zemplén,057 0,Gönci,Gönc,2,[Helyben],1727,547,278
Abaújlak,2820,község,Borsod-Abaúj-Zemplén,067 0,Szikszói,Szikszó,5,Selyeb,706,64,75
Abaújszántó,3595,város,Borsod-Abaúj-Zemplén,057 0,Gönci,Gönc,2,[Helyben],4739,2671,1161
Abaújszolnok,26338,község,Borsod-Abaúj-Zemplén,067 0,Szikszói,Szikszó,5,Selyeb,867,227,50
Abaújvár,2273,község,Borsod-Abaúj-Zemplén,057 0,Gönci,Gönc,5,Gönc,735,229,139
Abda,11882,község,Győr-Moson-Sopron,087 0,Győri,Győr,2,[Helyben],1902,3155,1226
Abod,10357,község,Borsod-Abaúj-Zemplén,055 0,Edelényi,Edelény,5,Edelény,3116,136,126
Abony,27872,város,Pest,124 0,Ceglédi,Cegléd,1,–,12797,14603,5963
Ábrahámhegy,4561,község,Veszprém,189 0,Tapolcai,Tapolca,5,Badacsonytomaj,1488,592,392
Ács,4428,város,Komárom-Esztergom,112 0,Komáromi,Komárom,1,–,10385,6920,2791
Acsa,18573,község,Pest,138 0,Váci,Vác,2,[Helyben],2694,1320,476
Acsád,7214,község,Vas,181 0,Szombathelyi,Szombathely,5,Nemesbőd,1434,623,189
Acsalag,33385,község,Győr-Moson-Sopron,086 0,Csornai,Csorna,5,Farád,1042,448,223
Ácsteszér,18139,község,Komárom-Esztergom,111 0,Kisbéri,Kisbér,5,Bakonyszombathely,1771,660,239
Adács,23241,község,Heves,106 0,Gyöngyösi,Gyöngyös,1,–,3794,2507,1192
Ádánd,6080,község,Somogy,146 0,Siófoki,Siófok,2,[Helyben],2952,2049,835
Adásztevel,7302,község,Veszprém,187 0,Pápai,Pápa,2,[Helyben],837,752,320
Adony,8925,város,Fejér,078 0,Dunaújvárosi,Dunaújváros,2,[Helyben],6105,4103,1685
Adorjánháza,31307,község,Veszprém,186 0,Devecseri,Devecser,5,Somlóvásárhely,1143,349,197
Adorjás,6868,község,Baranya,030 0,Sellyei,Sellye,5,Baksa,810,160,59
Ág,25812,község,Baranya,025 0,Hegyháti,Sásd,5,Vásárosdombó,1203,153,67
Ágasegyháza,17686,község,Bács-Kiskun,038 0,Kecskeméti,Kecskemét,1,–,5587,1861,897
Ágfalva,4880,község,Győr-Moson-Sopron,091 0,Soproni,Sopron,1,–,1308,2409,866
Aggtelek,9362,község,Borsod-Abaúj-Zemplén,063 0,Putnoki,Putnok,5,Ragály,4382,443,241
Agyagosszergény,29407,község,Győr-Moson-Sopron,088 0,Kapuvári,Kapuvár,5,Vitnyéd,1988,926,391
Ajak,8776,város,Szabolcs-Szatmár-Bereg,153 0,Kisvárdai,Kisvárda,1,–,2476,3218,1289
Ajka,6673,város,Veszprém,183 1,Ajkai,Ajka,2,[Helyben],9504,26007,12908
Aka,6682,község,Komárom-Esztergom,111 0,Kisbéri,Kisbér,5,Tárkány,1809,250,125
Akasztó,21944,község,Bács-Kiskun,039 0,Kiskőrösi,Kiskőrös,1,–,6488,3113,1533
Alacska,33093,község,Borsod-Abaúj-Zemplén,058 0,Kazincbarcikai,Kazincbarcika,5,Berente,856,599,267
Alap,26824,község,Fejér,084 0,Sárbogárdi,Sárbogárd,2,[Helyben],4829,1840,848
Alattyán,25265,község,Jász-Nagykun-Szolnok,161 0,Jászapáti,Jászapáti,1,–,3429,2060,884
Albertirsa,31653,város,Pest,124 0,Ceglédi,Cegléd,2,[Helyben],7300,13950,5285
Alcsútdoboz,15176,község,Fejér,077 0,Bicskei,Bicske,5,Felcsút,5071,1507,577
Aldebrő,6345,község,Heves,105 0,Füzesabonyi,Füzesabony,5,Kápolna,2178,689,347
Algyő,34245,nagyközség,Csongrád-Csanád,075 0,Szegedi,Szeged,1,–,7577,5364,2093
Alibánfa,2644,község,Zala,197 0,Zalaegerszegi,Zalaegerszeg,5,Pókaszepetk,584,428,171
Almamellék,13329,község,Baranya,033 0,Szigetvári,Szigetvár,5,Szentlászló,4433,373,170
Almásfüzitő,32346,község,Komárom-Esztergom,112 0,Komáromi,Komárom,1,–,818,2016,1119
Almásháza,23384,község,Zala,197 0,Zalaegerszegi,Zalaegerszeg,5,Nagykapornak,498,75,40
Almáskamarás,29595,község,Békés,049 0,Mezőkovácsházai,Mezőkovácsháza,5,Kunágota,1471,643,421
Almáskeresztúr,20376,község,Baranya,033 0,Szigetvári,Szigetvár,5,Mozsgó,1303,85,51
Álmosd,27641,község,Hajdú-Bihar,101 0,Nyíradonyi,Nyíradony,2,[Helyben],3413,1638,675
Alsóberecki,20482,község,Borsod-Abaúj-Zemplén,065 0,Sátoraljaújhelyi,Sátoraljaújhely,5,Mikóháza,686,654,280
