Százhalombatta 993 980 1224 1392 1751 1665 1717 1782 1717 2134 7993 5406 15330 16420 17830
Diósd 787 862 857 808 896 986 1047 1083 1160 1510 2200 2174 3462 5696 8484
Tárnok 1745 2038 2211 2284 2435 2482 2648 3719 3670 4163 4980 5001 5676 7519 8545
Érd 3027 3188 3343 3480 3953 3990 5632 14523 16444 23047 31059 30453 42988 55955 61415
Pusztazámor 450 487 584 532 579 622 675 618 582 695 697 699 709 958 1133
Sóskút 1850 2163 2317 2380 2651 2630 2565 2517 2208 2526 2610 2650 2371 2807 2961
Biatorbágy 2974 3296 3885 3940 4620 4847 5587 6049 5830 6637 7287 7270 7091 8203 11775
Törökbálint 1980 2204 2518 2917 3676 3837 4607 5295 5007 6892 8686 8126 8938 10978 12210
Budaörs 3449 4376 5281 6104 7395 7957 9006 9814 7639 11666 14160 13385 18946 23893 26129
Budakeszi 2909 3350 3635 4215 5030 4856 5800 6979 6090 9169 10227 9764 11219 12563 13033
Herceghalom 136 153 188 255 320 362 292 234 226 527 732 735 1148 1344 2051
Páty 2254 2317 2375 2514 2636 2538 2620 2729 2631 2986 3421 3417 4052 5240 6624
Telki 172 213 258 301 279 305 285 306 300 302 341 334 624 1865 3525
Bugyi 2393 2292 2724 3188 3269 3336 3435 4078 4220 4705 5412 5356 4974 5092 5004
Alsónémedi 2597 2782 2992 3537 3555 3683 3804 4554 4300 4546 4941 4911 4566 4749 4940
Ócsa 2450 2692 3247 3657 4296 5069 6016 6153 6227 7351 8519 8154 7902 8636 8859
Mogyoród 1222 1357 1544 1785 1973 2149 2389 2557 2626 2980 3227 3225 3292 4687 6046
Fót 2176 2307 2818 3530 4084 4437 5737 7303 7534 8542 10892 10914 12692 16092 18089
Dunakeszi 1204 1394 1529 2837 4811 6133 8415 11232 11029 14275 19334 18022 25607 28977 38653
Göd 402 536 902 1109 2195 2837 4882 7059 7834 10081 12055 11916 12386 15157 16828
Zsámbék 3486 3788 4174 3998 4215 4323 4437 4525 2606 2826 3122 3019 3569 4392 5036
Tök 1468 1499 1531 1311 1276 1379 1299 1291 1262 1349 1353 1391 1188 1330 1317
Perbál 1353 1433 1595 1778 1815 1909 2023 2066 1403 1656 1719 1693 1903 1984 2005
Tinnye 1248 1193 1215 1234 1192 1265 1289 1227 1094 1210 1217 1226 1132 1290 1573
Pilisjászfalu 30 29 29 30 66 70 107 227 282 501 627 626 718 986 1561
Piliscsaba 1309 1344 1501 1968 2447 3189 3202 3998 4789 4005 4109 4125 4260 5886 7577
Pilisszántó 1266 1239 1384 1565 1717 1688 1883 1799 1408 1783 1819 1838 1875 2126 2743
Üröm 700 838 1000 1167 1328 1363 1616 1927 1570 2232 3242 3052 3405 4459 6904
Pilisvörösvár 2533 2668 3048 3659 5584 6069 7815 8392 8123 9627 10217 10252 11103 12421 13401
Pilisszentiván 628 648 808 1222 2277 2173 2810 2286 2496 2974 3240 3232 3430 3967 4143
Solymár 1428 1489 1820 2337 2916 2911 3427 3793 3145 3617 4014 3942 5885 8855 9652
Nagykovácsi 1386 1502 1803 2012 2226 2240 2527 2758 1887 2374 2637 2582 3174 4736 6499
Szigetmonostor 1111 1124 1182 1273 1262 1194 1358 1458 1373 1535 1382 1385 1214 1561 2281
Budakalász 1700 1771 1686 2060 2546 2561 3085 3668 3543 4696 6644 6126 7366 9439 10044
Pomáz 3247 3292 3397 3830 4354 4815 5083 5725 5445 7679 9170 8735 12168 13923 15981
Szentendre 4683 4229 4260 4822 5673 5877 7210 9651 9283 10466 12859 12303 18609 21952 24267
Tahitótfalu 2403 2374 2250 2277 2246 2312 2353 2467 2434 2898 3077 3089 3422 4461 5265
Kisoroszi 881 912 1002 1070 1095 1028 1053 1055 970 1095 998 977 578 742 959
Pócsmegyer 694 603 693 778 769 725 758 778 748 824 783 772 667 1082 1819
Leányfalu 427 370 426 478 502 580 601 757 904 1356 1445 1370 1405 2368 3333
Dunabogdány 2466 2628 2802 3231 3351 3028 3095 2951 2636 2883 2897 2931 2707 2907 3017
Visegrád 1244 1331 1250 1508 1506 1594 1720 1670 1683 2112 1932 1738 1615 1673 1697
Pilisszentlászló 494 560 591 700 795 747 981 1122 805 926 952 960 795 964 1111
Pilisszentkereszt 880 846 952 1049 1150 1174 1339 1450 1295 1820 2157 1687 1896 2119 2230
Csobánka 1436 1460 1667 1692 1820 1679 1924 2013 1304 1622 1877 1830 1827 2800 3061
Szigetszentmiklós 2376 2472 2707 3196 3707 4322 4660 5284 5865 10420 13521 13048 19300 23093 33035
Halásztelek 67 56 68 95 208 250 168 114 1401 2206 4418 3869 5805 6900 8752
Tököl 1845 1565 1897 2637 3264 3339 4219 5503 3941 4660 5757 5740 6154 8656 9734
Szigethalom 51 43 52 73 136 429 991 1105 1747 2826 6016 5744 9031 11930 16546
Szigetcsép 949 977 1030 1215 1619 1664 1576 1623 1624 1939 2403 2233 2071 2315 2263
Szigetújfalu 1097 1173 1347 1566 1781 1778 1636 1630 1425 1830 2018 2048 2045 2051 2016
Szigetszentmárton 624 658 666 825 1048 1053 1031 1069 1049 1430 1575 1543 1509 1824 2125
Ráckeve 5672 5463 5861 6498 6881 6551 6565 6701 6893 7456 7534 7552 8071 8665 9881
Szigetbecse 636 719 785 809 956 981 1044 1045 1129 1204 1248 1238 1310 1319 1358
Lórév 620 585 619 656 692 632 506 450 448 406 400 397 322 303 291
Makád 1497 1592 1641 1595 1538 1473 1486 1429 1539 1494 1391 1403 1261 1261 1249
Dunaharaszti 1748 1803 2075 2367 3861 5921 8040 10018 10133 12474 15788 15514 14987 16411 19755
Taksony 1650 1817 2139 2668 2916 3047 3438 5092 3908 4178 4752 4776 5158 5816 6010
Dunavarsány 176 193 228 284 611 1032 1932 1006 2691 3372 4500 4354 4963 5649 7151
Délegyháza 235 254 287 330 395 477 493 591 1084 1307 1518 1524 1753 2402 3268
Majosháza 469 478 465 621 745 780 750 766 765 858 940 908 982 1201 1476
Áporka 889 863 862 917 975 988 1051 1119 1150 1084 1128 1108 995 1140 1134
Kiskunlacháza 5285 5600 6084 6766 7580 7552 7562 7962 7869 8106 8275 8299 7953 8561 8879
Dömsöd 4369 4350 4582 4761 4915 5096 5533 5482 5877 5585 5527 5578 5448 5621 5783
Apaj 207 133 143 146 386 501 477 431 658 947 1018 1037 1151 1279 1262
Sellye 1558 1566 1652 1840 2097 2023 2164 2058 2240 2499 2804 2801 3293 3220 2849
Helesfa 588 594 639 640 590 574 654 605 552 564 515 529 567 550 518
Szava 573 607 610 545 538 464 546 514 596 577 479 502 377 357 354
Pócsa 360 372 412 395 413 426 371 381 419 336 305 311 192 188 183
Nagybudmér 510 490 571 526 549 508 450 490 509 370 353 354 271 258 196
Gerényes 690 696 713 728 701 685 643 604 538 479 421 418 292 267 241
Sátorhely 588 448 620 668 742 834 859 813 377 943 800 801 687 715 657
Drávacsehi 426 413 359 387 354 329 402 423 339 327 288 291 234 254 233
Gödre 1363 1475 1567 1671 1919 1917 2076 2077 1967 1763 1708 1740 1123 1002 947
Királyegyháza 1313 1264 1357 1380 1347 1190 1254 1195 1289 1303 1209 1201 1012 1039 993
Zádor 790 774 714 751 603 588 657 643 685 597 548 539 423 395 327
Drávapalkonya 687 644 625 716 640 507 497 519 460 437 444 442 327 277 286
Okorág 520 711 665 685 669 540 511 522 568 508 409 413 227 188 172
Botykapeterd 827 845 921 885 834 707 659 732 701 590 552 548 363 402 337
Adorjás 311 318 309 306 306 329 327 329 304 260 244 246 180 184 207
Bánfa 559 537 495 567 472 421 401 499 489 441 330 331 225 217 195
Sásd 862 872 1138 1243 1718 1951 2096 2154 2251 2640 2841 2888 3877 3629 3267
Gerde 813 786 726 674 674 649 683 697 706 692 745 742 527 560 592
Basal 208 210 231 245 221 191 180 207 245 256 236 233 212 197 185
Bár 720 676 799 701 769 740 721 750 827 796 821 810 726 634 601
Almamellék 1212 1291 1210 1404 1234 1153 1171 1138 1241 998 917 927 574 497 433
Kistamási 429 381 453 289 274 215 194 218 220 188 166 169 142 149 126
