F,V,N_F,N_V,v,n,T,X,Y,other,cityname
131,280,517,703,3.946564885496183,2.5107142857142857,190,58.0,22.0,10.0,Százhalombatta
133,330,545,755,4.097744360902255,2.287878787878788,239,20.0,57.0,14.0,Diósd
104,196,409,556,3.9326923076923075,2.836734693877551,102,77.0,15.0,2.0,Tárnok
1022,1684,4115,4641,4.026418786692759,2.755938242280285,904,519.0,182.0,79.0,Érd
24,81,87,172,3.625,2.123456790123457,67,3.0,11.0,,Sóskút
166,404,677,951,4.078313253012048,2.353960396039604,284,38.0,63.0,19.0,Biatorbágy
171,404,689,975,4.029239766081871,2.4133663366336635,276,50.0,63.0,15.0,Törökbálint
239,606,1013,1441,4.2384937238493725,2.377887788778878,367,50.0,166.0,23.0,Budaörs
121,297,481,694,3.975206611570248,2.3367003367003365,207,25.0,52.0,13.0,Budakeszi
25,74,95,184,3.8,2.4864864864864864,54,16.0,2.0,2.0,Herceghalom
98,234,399,554,4.071428571428571,2.3675213675213675,158,25.0,43.0,8.0,Páty
64,132,256,360,4.0,2.727272727272727,58,27.0,37.0,10.0,Telki
57,134,229,310,4.017543859649122,2.3134328358208953,98,15.0,18.0,3.0,Bugyi
67,140,269,326,4.014925373134329,2.3285714285714287,92,14.0,31.0,3.0,Alsónémedi
112,231,438,581,3.9107142857142856,2.515151515151515,143,46.0,37.0,5.0,Ócsa
91,231,366,528,4.021978021978022,2.2857142857142856,159,16.0,45.0,11.0,Mogyoród
189,433,774,1044,4.095238095238095,2.4110854503464205,287,60.0,73.0,13.0,Fót
368,743,1482,1836,4.0271739130434785,2.471063257065949,477,125.0,112.0,29.0,Dunakeszi
316,597,1249,1527,3.9525316455696204,2.557788944723618,388,139.0,53.0,17.0,Göd
41,108,170,253,4.146341463414634,2.3425925925925926,71,8.0,25.0,4.0,Zsámbék
22,62,80,138,3.6363636363636362,2.225806451612903,42,2.0,15.0,3.0,Perbál
76,212,291,498,3.8289473684210527,2.349056603773585,153,19.0,32.0,8.0,Piliscsaba
48,107,190,269,3.9583333333333335,2.514018691588785,65,19.0,18.0,5.0,Pilisszántó
54,174,200,419,3.7037037037037037,2.4080459770114944,106,20.0,40.0,8.0,Üröm
156,395,681,928,4.365384615384615,2.349367088607595,274,42.0,68.0,11.0,Pilisvörösvár
33,90,129,209,3.909090909090909,2.3222222222222224,60,6.0,20.0,4.0,Pilisszentiván
73,226,318,510,4.3561643835616435,2.256637168141593,160,11.0,44.0,11.0,Solymár
98,245,409,574,4.173469387755102,2.342857142857143,161,23.0,55.0,6.0,Nagykovácsi
103,321,426,732,4.135922330097087,2.2803738317757007,241,26.0,47.0,7.0,Budakalász
196,478,828,1181,4.224489795918367,2.4707112970711296,292,65.0,103.0,18.0,Pomáz
316,959,1421,2215,4.496835443037975,2.3096976016684048,621,56.0,247.0,35.0,Szentendre
83,238,365,563,4.397590361445783,2.365546218487395,146,18.0,66.0,8.0,Tahitótfalu
34,168,134,397,3.9411764705882355,2.363095238095238,100,8.0,50.0,10.0,Leányfalu
16,86,66,201,4.125,2.3372093023255816,46,4.0,34.0,2.0,Dunabogdány
8,35,30,79,3.75,2.257142857142857,20,1.0,13.0,1.0,Pilisszentkereszt
25,94,106,228,4.24,2.425531914893617,48,5.0,36.0,5.0,Csobánka
285,863,1240,1991,4.350877192982456,2.3070683661645424,617,73.0,146.0,27.0,Szigetszentmiklós
135,260,541,637,4.007407407407407,2.45,199,56.0,2.0,3.0,Halásztelek
83,194,333,441,4.0120481927710845,2.2731958762886597,144,18.0,29.0,3.0,Tököl
198,402,788,967,3.9797979797979797,2.4054726368159205,310,67.0,11.0,14.0,Szigethalom
16,47,62,110,3.875,2.3404255319148937,33,4.0,8.0,2.0,Szigetcsép
15,42,59,87,3.933333333333333,2.0714285714285716,37,1.0,4.0,,Szigetújfalu
28,85,104,184,3.7142857142857144,2.164705882352941,64,4.0,17.0,,Szigetszentmárton
116,362,468,833,4.0344827586206895,2.3011049723756907,258,28.0,63.0,13.0,Ráckeve
239,444,948,1152,3.9665271966527196,2.5945945945945947,291,118.0,29.0,6.0,Dunaharaszti
70,162,283,371,4.042857142857143,2.2901234567901234,125,16.0,17.0,4.0,Taksony
115,236,442,550,3.8434782608695652,2.330508474576271,173,35.0,27.0,1.0,Dunavarsány
62,166,237,371,3.8225806451612905,2.2349397590361444,120,5.0,32.0,9.0,Délegyháza
125,279,478,639,3.824,2.2903225806451615,226,34.0,13.0,6.0,Kiskunlacháza
79,196,341,452,4.3164556962025316,2.306122448979592,131,13.0,48.0,4.0,Dömsöd
17,53,65,114,3.823529411764706,2.150943396226415,47,4.0,2.0,,Sellye
26,60,101,141,3.8846153846153846,2.35,43,7.0,9.0,1.0,Sásd
