F,V,N_F,N_V,v,n,T,X,Y,other,cityname
127,280,495,703,3.8976377952755907,2.5107142857142857,190,58.0,22.0,10.0,Százhalombatta
127,330,515,755,4.05511811023622,2.287878787878788,239,20.0,57.0,14.0,Diósd
101,196,396,556,3.9207920792079207,2.836734693877551,102,77.0,15.0,2.0,Tárnok
1006,1684,4033,4641,4.008946322067595,2.755938242280285,904,519.0,182.0,79.0,Érd
22,81,80,172,3.6363636363636362,2.123456790123457,67,3.0,11.0,,Sóskút
157,404,627,951,3.9936305732484074,2.353960396039604,284,38.0,63.0,19.0,Biatorbágy
161,404,641,975,3.981366459627329,2.4133663366336635,276,50.0,63.0,15.0,Törökbálint
221,606,897,1441,4.0588235294117645,2.377887788778878,367,50.0,166.0,23.0,Budaörs
114,297,451,694,3.956140350877193,2.3367003367003365,207,25.0,52.0,13.0,Budakeszi
23,74,85,184,3.6956521739130435,2.4864864864864864,54,16.0,2.0,2.0,Herceghalom
95,234,383,554,4.031578947368421,2.3675213675213675,158,25.0,43.0,8.0,Páty
64,132,256,360,4.0,2.727272727272727,58,27.0,37.0,10.0,Telki
49,134,180,310,3.673469387755102,2.3134328358208953,98,15.0,18.0,3.0,Bugyi
60,140,239,326,3.9833333333333334,2.3285714285714287,92,14.0,31.0,3.0,Alsónémedi
111,231,434,581,3.90990990990991,2.515151515151515,143,46.0,37.0,5.0,Ócsa
84,231,309,528,3.6785714285714284,2.2857142857142856,159,16.0,45.0,11.0,Mogyoród
182,433,740,1044,4.065934065934066,2.4110854503464205,287,60.0,73.0,13.0,Fót
367,743,1477,1836,4.024523160762943,2.471063257065949,477,125.0,112.0,29.0,Dunakeszi
314,597,1235,1527,3.93312101910828,2.557788944723618,388,139.0,53.0,17.0,Göd
37,108,147,253,3.972972972972973,2.3425925925925926,71,8.0,25.0,4.0,Zsámbék
23,62,85,138,3.6956521739130435,2.225806451612903,42,2.0,15.0,3.0,Perbál
75,212,287,498,3.8266666666666667,2.349056603773585,153,19.0,32.0,8.0,Piliscsaba
45,107,168,269,3.7333333333333334,2.514018691588785,65,19.0,18.0,5.0,Pilisszántó
52,174,192,419,3.6923076923076925,2.4080459770114944,106,20.0,40.0,8.0,Üröm
150,395,636,928,4.24,2.349367088607595,274,42.0,68.0,11.0,Pilisvörösvár
33,90,129,209,3.909090909090909,2.3222222222222224,60,6.0,20.0,4.0,Pilisszentiván
64,226,265,510,4.140625,2.256637168141593,160,11.0,44.0,11.0,Solymár
97,245,400,574,4.123711340206185,2.342857142857143,161,23.0,55.0,6.0,Nagykovácsi
97,321,385,732,3.9690721649484537,2.2803738317757007,241,26.0,47.0,7.0,Budakalász
191,478,792,1181,4.146596858638744,2.4707112970711296,292,65.0,103.0,18.0,Pomáz
303,959,1318,2215,4.34983498349835,2.3096976016684048,621,56.0,247.0,35.0,Szentendre
80,238,336,563,4.2,2.365546218487395,146,18.0,66.0,8.0,Tahitótfalu
33,168,124,397,3.757575757575758,2.363095238095238,100,8.0,50.0,10.0,Leányfalu
17,86,69,201,4.0588235294117645,2.3372093023255816,46,4.0,34.0,2.0,Dunabogdány
8,35,30,79,3.75,2.257142857142857,20,1.0,13.0,1.0,Pilisszentkereszt
22,94,83,228,3.772727272727273,2.425531914893617,48,5.0,36.0,5.0,Csobánka
260,863,1074,1991,4.130769230769231,2.3070683661645424,617,73.0,146.0,27.0,Szigetszentmiklós
137,260,550,637,4.014598540145985,2.45,199,56.0,2.0,3.0,Halásztelek
79,194,316,441,4.0,2.2731958762886597,144,18.0,29.0,3.0,Tököl
199,402,792,967,3.979899497487437,2.4054726368159205,310,67.0,11.0,14.0,Szigethalom
14,47,50,110,3.5714285714285716,2.3404255319148937,33,4.0,8.0,2.0,Szigetcsép
16,42,61,87,3.8125,2.0714285714285716,37,1.0,4.0,,Szigetújfalu
26,85,96,184,3.6923076923076925,2.164705882352941,64,4.0,17.0,,Szigetszentmárton
111,362,436,833,3.9279279279279278,2.3011049723756907,258,28.0,63.0,13.0,Ráckeve
238,444,940,1152,3.9495798319327733,2.5945945945945947,291,118.0,29.0,6.0,Dunaharaszti
68,162,270,371,3.9705882352941178,2.2901234567901234,125,16.0,17.0,4.0,Taksony
112,236,427,550,3.8125,2.330508474576271,173,35.0,27.0,1.0,Dunavarsány
61,166,234,371,3.8360655737704916,2.2349397590361444,120,5.0,32.0,9.0,Délegyháza
123,279,468,639,3.8048780487804876,2.2903225806451615,226,34.0,13.0,6.0,Kiskunlacháza
68,196,278,452,4.088235294117647,2.306122448979592,131,13.0,48.0,4.0,Dömsöd
16,53,61,114,3.8125,2.150943396226415,47,4.0,2.0,,Sellye
25,60,97,141,3.88,2.35,43,7.0,9.0,1.0,Sásd
26,68,98,168,3.769230769230769,2.4705882352941178,44,8.0,11.0,5.0,Szászvár
16,37,62,84,3.875,2.27027027027027,22,3.0,9.0,3.0,Pellérd
66,176,260,410,3.9393939393939394,2.3295454545454546,118,15.0,37.0,6.0,Siklós
38,101,151,238,3.973684210526316,2.3564356435643563,75,14.0,11.0,1.0,Bóly
66,266,241,599,3.6515151515151514,2.2518796992481205,180,11.0,67.0,8.0,Komló
69,188,292,439,4.231884057971015,2.3351063829787235,138,16.0,26.0,8.0,Szigetvár
54,125,202,315,3.740740740740741,2.52,82,24.0,14.0,5.0,Kozármisleny
57,149,218,355,3.824561403508772,2.38255033557047,101,22.0,23.0,3.0,Harkány
18,73,71,168,3.9444444444444446,2.3013698630136985,47,3.0,18.0,5.0,Hosszúhetény
9,39,29,83,3.2222222222222223,2.128205128205128,32,1.0,6.0,,Mágocs
6,42,26,88,4.333333333333333,2.0952380952380953,37,2.0,3.0,,Beremend
13,52,48,120,3.6923076923076925,2.3076923076923075,32,5.0,15.0,,Hidas
9,35,33,85,3.6666666666666665,2.4285714285714284,24,6.0,4.0,1.0,Lánycsók
33,95,121,212,3.6666666666666665,2.231578947368421,60,4.0,30.0,1.0,Pécsvárad
142,368,567,877,3.992957746478873,2.3831521739130435,268,53.0,39.0,8.0,Mohács
854,2506,3482,6039,4.07728337236534,2.4098164405426976,1561,278.0,564.0,103.0,Pécs
25,76,100,179,4.0,2.3552631578947367,42,8.0,26.0,,Villány
37,71,147,168,3.972972972972973,2.3661971830985915,56,12.0,3.0,,Üllés
24,75,97,169,4.041666666666667,2.2533333333333334,60,7.0,8.0,,Balástya
17,36,64,86,3.764705882352941,2.388888888888889,28,7.0,1.0,,Zákányszék
18,38,68,87,3.7777777777777777,2.289473684210526,32,5.0,1.0,,Forráskút
333,624,1350,1604,4.054054054054054,2.5705128205128207,388,137.0,73.0,26.0,Makó
0,19,0,50,,2.6315789473684212,8,2.0,9.0,,Ásotthalom
59,132,235,339,3.983050847457627,2.5681818181818183,89,31.0,10.0,2.0,Szegvár
28,62,110,145,3.9285714285714284,2.338709677419355,46,10.0,6.0,,Nagymágocs
25,55,100,139,4.0,2.5272727272727273,39,12.0,3.0,1.0,Székkutas
95,172,380,437,4.0,2.5406976744186047,116,33.0,17.0,6.0,Kistelek
46,104,182,244,3.9565217391304346,2.3461538461538463,77,13.0,13.0,1.0,Deszk
30,71,116,181,3.8666666666666667,2.5492957746478875,49,16.0,3.0,3.0,Szatymaz
77,174,310,436,4.025974025974026,2.5057471264367814,117,34.0,15.0,8.0,Mórahalom
26,86,98,199,3.769230769230769,2.313953488372093,66,9.0,8.0,3.0,Röszke
247,571,1000,1433,4.048582995951417,2.509632224168126,353,110.0,94.0,14.0,Szentes
25,48,98,129,3.92,2.6875,24,11.0,9.0,4.0,Maroslele
24,51,90,132,3.75,2.588235294117647,36,13.0,,2.0,Baks
186,381,731,931,3.9301075268817205,2.4435695538057742,254,56.0,56.0,15.0,Csongrád
40,76,156,192,3.9,2.526315789473684,51,16.0,7.0,2.0,Csanádpalota
65,141,253,331,3.8923076923076922,2.347517730496454,108,19.0,11.0,3.0,Domaszék
46,105,181,248,3.9347826086956523,2.361904761904762,73,12.0,16.0,4.0,Kiszombor
22,46,87,112,3.9545454545454546,2.4347826086956523,36,10.0,,,Fábiánsebestyén
48,96,189,278,3.9375,2.8958333333333335,42,33.0,18.0,3.0,Sándorfalva
112,198,450,522,4.017857142857143,2.6363636363636362,118,55.0,22.0,3.0,Mindszent
29,60,111,149,3.8275862068965516,2.4833333333333334,45,14.0,1.0,,Zsombó
1198,2445,4862,6282,4.058430717863105,2.569325153374233,1586,532.0,248.0,79.0,Szeged
16,43,61,105,3.8125,2.441860465116279,34,7.0,,2.0,Bordány
38,77,147,200,3.8684210526315788,2.5974025974025974,51,15.0,4.0,7.0,Apátfalva
21,45,80,109,3.8095238095238093,2.422222222222222,35,8.0,1.0,1.0,Ópusztaszer
30,66,111,156,3.7,2.3636363636363638,49,8.0,4.0,5.0,Földeák
19,41,76,99,4.0,2.4146341463414633,28,6.0,1.0,6.0,Ruzsa
12,69,43,154,3.5833333333333335,2.2318840579710146,54,4.0,10.0,1.0,Csanytelek
3,36,12,79,4.0,2.1944444444444446,28,3.0,3.0,2.0,Dombegyház
113,168,451,504,3.9911504424778763,3.0,83,81.0,3.0,1.0,Csorvás
96,228,386,544,4.020833333333333,2.3859649122807016,162,34.0,26.0,6.0,Dévaványa
299,660,1179,1590,3.94314381270903,2.409090909090909,480,98.0,56.0,26.0,Orosháza
220,489,901,1179,4.095454545454546,2.411042944785276,330,52.0,81.0,26.0,Békés
18,46,70,106,3.888888888888889,2.3043478260869565,38,6.0,1.0,1.0,Szabadkígyós
72,169,279,394,3.875,2.331360946745562,129,18.0,18.0,4.0,Füzesgyarmat
32,69,121,163,3.78125,2.36231884057971,51,8.0,8.0,2.0,Köröstarcsa
38,73,143,201,3.763157894736842,2.7534246575342465,41,22.0,5.0,5.0,Kétegyháza
48,104,192,251,4.0,2.4134615384615383,81,20.0,2.0,1.0,Gádoros
56,164,214,384,3.8214285714285716,2.341463414634146,120,17.0,21.0,6.0,Szeghalom
124,259,499,631,4.024193548387097,2.436293436293436,184,46.0,26.0,3.0,Sarkad
340,738,1389,1823,4.0852941176470585,2.470189701897019,482,118.0,108.0,30.0,Gyula
4,25,14,63,3.5,2.52,16,5.0,4.0,,Kevermes
77,165,308,416,4.0,2.521212121212121,109,30.0,17.0,9.0,Békésszentandrás
52,109,204,266,3.923076923076923,2.4403669724770642,78,17.0,11.0,3.0,Körösladány
23,68,95,150,4.130434782608695,2.2058823529411766,54,2.0,11.0,1.0,Méhkerék
26,68,98,154,3.769230769230769,2.264705882352941,59,9.0,,,Csanádapáca
468,1071,1879,2605,4.014957264957265,2.4323062558356674,763,175.0,106.0,27.0,Békéscsaba
101,149,392,441,3.881188118811881,2.959731543624161,72,70.0,7.0,,Kondoros
77,140,297,417,3.857142857142857,2.9785714285714286,69,65.0,4.0,2.0,Battonya
53,100,203,248,3.830188679245283,2.48,74,21.0,4.0,1.0,Elek
65,120,254,288,3.9076923076923076,2.4,95,23.0,2.0,,Nagyszénás
197,322,775,889,3.934010152284264,2.760869565217391,178,112.0,22.0,10.0,Szarvas
13,40,49,98,3.769230769230769,2.45,31,9.0,,,Magyarbánhegyes
31,60,121,161,3.903225806451613,2.683333333333333,37,19.0,4.0,,Békéssámson
109,200,428,508,3.926605504587156,2.54,134,47.0,17.0,2.0,Tótkomlós
22,55,83,122,3.772727272727273,2.2181818181818183,49,6.0,,,Bucsa
23,41,91,118,3.9565217391304346,2.8780487804878048,22,17.0,2.0,,Kaszaper
39,86,152,210,3.8974358974358974,2.441860465116279,58,14.0,11.0,3.0,Okány
5,45,19,125,3.8,2.7777777777777777,27,16.0,1.0,1.0,Kunágota
28,68,105,171,3.75,2.514705882352941,47,13.0,6.0,2.0,Medgyesegyháza
0,14,0,39,,2.7857142857142856,3,,9.0,2.0,Újkígyós
66,159,252,377,3.8181818181818183,2.3710691823899372,119,23.0,14.0,3.0,Doboz
27,61,101,151,3.740740740740741,2.4754098360655736,37,10.0,12.0,2.0,Szárliget
15,44,61,109,4.066666666666666,2.477272727272727,22,4.0,15.0,3.0,Piliscsév
29,88,109,195,3.7586206896551726,2.215909090909091,73,7.0,6.0,2.0,Környe
19,50,67,120,3.526315789473684,2.4,28,4.0,16.0,2.0,Kocs
32,86,121,202,3.78125,2.3488372093023258,58,7.0,18.0,3.0,Tokod
75,188,297,451,3.96,2.398936170212766,122,20.0,37.0,9.0,Oroszlány
28,75,115,179,4.107142857142857,2.3866666666666667,47,8.0,20.0,,Sárisáp
5,13,17,26,3.4,2.0,13,,,,Baj
311,849,1208,2023,3.8842443729903535,2.3828032979976443,562,90.0,160.0,37.0,Tatabánya
28,86,104,198,3.7142857142857144,2.302325581395349,63,9.0,12.0,2.0,Kisbér
20,91,72,201,3.6,2.208791208791209,57,2.0,31.0,1.0,Lábatlan
213,446,823,1104,3.863849765258216,2.475336322869955,309,82.0,37.0,18.0,Komárom
239,691,997,1672,4.171548117154812,2.4196816208393632,420,63.0,169.0,39.0,Esztergom
10,32,37,72,3.7,2.25,20,1.0,10.0,1.0,Szomód
181,479,743,1132,4.104972375690608,2.363256784968685,328,57.0,87.0,7.0,Tata
28,74,101,161,3.607142857142857,2.175675675675676,56,3.0,15.0,,Nagyigmánd
39,82,151,184,3.871794871794872,2.2439024390243905,69,9.0,3.0,1.0,Tokodaltáró
66,155,256,353,3.878787878787879,2.2774193548387096,114,14.0,23.0,4.0,Ács
48,101,184,238,3.8333333333333335,2.3564356435643563,76,15.0,7.0,3.0,Bábolna
64,166,246,395,3.84375,2.3795180722891565,112,24.0,27.0,3.0,Nyergesújfalu
18,41,68,97,3.7777777777777777,2.3658536585365852,25,6.0,10.0,,Bokod
34,105,126,249,3.7058823529411766,2.3714285714285714,57,6.0,34.0,8.0,Csolnok
26,81,100,188,3.8461538461538463,2.3209876543209877,51,2.0,24.0,4.0,Kesztölc
18,52,60,129,3.3333333333333335,2.480769230769231,34,8.0,9.0,1.0,Tarján
98,233,393,539,4.010204081632653,2.313304721030043,161,22.0,43.0,7.0,Dorog
16,45,57,98,3.5625,2.1777777777777776,37,3.0,5.0,,Naszály
23,52,90,132,3.9130434782608696,2.5384615384615383,33,8.0,8.0,3.0,Mocsa
61,133,238,315,3.901639344262295,2.3684210526315788,101,20.0,10.0,2.0,Tát
11,34,35,73,3.1818181818181817,2.1470588235294117,25,1.0,7.0,1.0,Szentgál
324,841,1347,2069,4.157407407407407,2.460166468489893,534,125.0,139.0,43.0,Veszprém
21,65,78,159,3.7142857142857144,2.4461538461538463,42,8.0,12.0,3.0,Öskü
71,170,273,395,3.8450704225352115,2.323529411764706,106,16.0,44.0,4.0,Sümeg
222,570,906,1402,4.081081081081081,2.4596491228070176,371,93.0,83.0,23.0,Pápa
67,156,267,366,3.985074626865672,2.3461538461538463,118,20.0,17.0,1.0,Zirc
135,418,530,964,3.925925925925926,2.3062200956937797,286,29.0,88.0,15.0,Ajka
48,111,186,259,3.875,2.3333333333333335,81,10.0,17.0,3.0,Berhida
14,49,51,106,3.642857142857143,2.163265306122449,36,2.0,11.0,,Hajmáskér
35,163,144,374,4.114285714285714,2.294478527607362,99,8.0,53.0,3.0,Badacsonytomaj
197,627,851,1506,4.319796954314721,2.401913875598086,386,45.0,157.0,39.0,Balatonalmádi
29,61,111,165,3.8275862068965516,2.7049180327868854,31,13.0,12.0,5.0,Úrkút
20,56,76,135,3.8,2.4107142857142856,37,6.0,11.0,2.0,Herend
52,116,204,278,3.923076923076923,2.396551724137931,85,17.0,12.0,2.0,Devecser
34,92,143,206,4.205882352941177,2.239130434782609,63,3.0,24.0,2.0,Szentkirályszabadja
21,69,78,161,3.7142857142857144,2.3333333333333335,39,3.0,25.0,2.0,Csabrendek
111,308,457,712,4.117117117117117,2.311688311688312,225,24.0,49.0,10.0,Balatonkenese
140,329,555,765,3.9642857142857144,2.325227963525836,224,35.0,63.0,7.0,Várpalota
151,406,618,942,4.0927152317880795,2.3201970443349755,284,32.0,71.0,19.0,Balatonfüred
23,56,89,125,3.869565217391304,2.232142857142857,41,5.0,9.0,1.0,Litér
27,63,108,139,4.0,2.2063492063492065,51,4.0,7.0,1.0,Nemesvámos
136,297,537,734,3.948529411764706,2.4713804713804715,189,39.0,52.0,17.0,Tapolca
29,72,113,164,3.896551724137931,2.2777777777777777,52,4.0,14.0,2.0,Hercegszántó
34,94,135,230,3.9705882352941178,2.4468085106382977,61,13.0,17.0,3.0,Hajós
35,83,136,199,3.8857142857142857,2.397590361445783,66,15.0,1.0,1.0,Helvécia
81,151,323,389,3.9876543209876543,2.576158940397351,98,34.0,14.0,5.0,Bácsalmás
5,36,17,87,3.4,2.4166666666666665,24,4.0,5.0,3.0,Kelebia
23,63,95,152,4.130434782608695,2.4126984126984126,41,8.0,12.0,2.0,Vaskút
30,70,119,175,3.966666666666667,2.5,49,16.0,5.0,,Jászszentlászló
36,99,140,222,3.888888888888889,2.242424242424242,69,3.0,25.0,2.0,Szalkszentmárton
101,233,400,569,3.9603960396039604,2.4420600858369097,141,32.0,50.0,10.0,Kunszentmiklós
34,67,133,179,3.911764705882353,2.671641791044776,38,20.0,7.0,2.0,Sükösd
33,98,125,209,3.787878787878788,2.13265306122449,76,1.0,20.0,1.0,Akasztó
26,65,99,156,3.8076923076923075,2.4,35,8.0,20.0,2.0,Nagybaracska
115,214,453,539,3.9391304347826086,2.5186915887850465,151,46.0,11.0,6.0,Lakitelek
36,89,136,220,3.7777777777777777,2.4719101123595504,64,19.0,6.0,,Harta
28,64,109,148,3.892857142857143,2.3125,48,8.0,8.0,,Jakabszállás
37,71,147,208,3.972972972972973,2.9295774647887325,34,26.0,3.0,8.0,Madaras
23,46,83,111,3.608695652173913,2.4130434782608696,35,9.0,1.0,1.0,Városföld
111,238,433,542,3.900900900900901,2.277310924369748,187,27.0,20.0,4.0,Izsák
74,187,298,424,4.027027027027027,2.267379679144385,126,13.0,41.0,7.0,Szabadszállás
95,214,377,511,3.968421052631579,2.3878504672897196,157,30.0,23.0,4.0,Jánoshalma
14,43,53,108,3.7857142857142856,2.511627906976744,27,8.0,6.0,2.0,Érsekcsanád
232,485,924,1151,3.9827586206896552,2.37319587628866,361,66.0,47.0,11.0,Tiszakécske
50,101,197,233,3.94,2.3069306930693068,81,13.0,6.0,1.0,Orgovány
116,250,464,614,4.0,2.456,167,41.0,34.0,8.0,Kecel
89,235,359,546,4.033707865168539,2.323404255319149,164,19.0,44.0,8.0,Solt
24,57,90,145,3.75,2.543859649122807,36,13.0,8.0,,Kunfehértó
70,137,275,357,3.9285714285714284,2.605839416058394,76,30.0,25.0,6.0,Tiszaalpár
379,790,1536,1943,4.052770448548813,2.4594936708860757,524,137.0,106.0,23.0,Baja
73,150,289,389,3.958904109589041,2.5933333333333333,94,32.0,17.0,7.0,Mélykút
15,39,60,93,4.0,2.3846153846153846,30,4.0,,5.0,Gara
169,341,659,841,3.899408284023669,2.466275659824047,229,58.0,41.0,13.0,Kiskunmajsa
45,111,182,264,4.044444444444444,2.3783783783783785,70,10.0,27.0,4.0,Tass
300,619,1213,1576,4.043333333333333,2.5460420032310176,412,148.0,49.0,10.0,Kiskunfélegyháza
25,61,96,145,3.84,2.377049180327869,44,9.0,7.0,1.0,Ballószög
106,204,415,548,3.9150943396226414,2.6862745098039214,128,63.0,9.0,4.0,Lajosmizse
43,74,167,218,3.883720930232558,2.945945945945946,36,33.0,3.0,2.0,Bugac
17,51,63,122,3.7058823529411766,2.392156862745098,34,6.0,10.0,1.0,Bácsbokod
48,99,189,241,3.9375,2.4343434343434343,69,14.0,11.0,5.0,Dusnok
39,81,154,216,3.948717948717949,2.6666666666666665,49,25.0,5.0,2.0,Tompa
29,58,115,141,3.9655172413793105,2.4310344827586206,37,8.0,9.0,4.0,Katymár
193,403,773,962,4.005181347150259,2.3870967741935485,292,58.0,43.0,10.0,Kalocsa
31,88,121,208,3.903225806451613,2.3636363636363638,61,11.0,14.0,2.0,Apostag
28,76,113,183,4.035714285714286,2.4078947368421053,59,14.0,2.0,1.0,Kisszállás
41,90,157,210,3.8292682926829267,2.3333333333333335,65,8.0,12.0,5.0,Fülöpszállás
298,599,1212,1483,4.067114093959732,2.4757929883138563,385,104.0,93.0,17.0,Kiskunhalas
26,66,96,155,3.6923076923076925,2.3484848484848486,48,7.0,8.0,3.0,Császártöltés
76,184,301,436,3.960526315789474,2.369565217391304,110,19.0,47.0,8.0,Dunapataj
40,84,156,206,3.9,2.4523809523809526,58,14.0,9.0,3.0,Bátya
40,106,158,242,3.95,2.2830188679245285,74,8.0,23.0,1.0,Dávod
30,52,114,134,3.8,2.576923076923077,36,15.0,1.0,,Szank
82,181,343,439,4.182926829268292,2.425414364640884,108,17.0,45.0,11.0,Dunavecse
58,109,230,278,3.9655172413793105,2.55045871559633,73,26.0,8.0,2.0,Kerekegyháza
965,2110,3924,5122,4.0663212435233165,2.4274881516587676,1490,322.0,229.0,69.0,Kecskemét
101,198,404,482,4.0,2.4343434343434343,136,33.0,23.0,6.0,Soltvadkert
25,70,101,161,4.04,2.3,53,4.0,9.0,4.0,Csepreg
16,49,60,123,3.75,2.510204081632653,34,9.0,4.0,2.0,Répcelak
18,81,68,185,3.7777777777777777,2.2839506172839505,55,6.0,18.0,2.0,Vasvár
55,184,207,422,3.7636363636363637,2.2934782608695654,127,15.0,36.0,6.0,Szentgotthárd
37,103,142,232,3.8378378378378377,2.2524271844660193,88,10.0,2.0,3.0,Bük
94,252,367,614,3.904255319148936,2.4365079365079363,179,40.0,26.0,7.0,Körmend
97,243,389,575,4.010309278350515,2.366255144032922,179,32.0,26.0,6.0,Sárvár
17,53,60,128,3.5294117647058822,2.4150943396226414,35,9.0,8.0,1.0,Ják
419,967,1650,2413,3.9379474940334127,2.4953464322647365,665,189.0,88.0,25.0,Szombathely
1,22,3,51,3.0,2.3181818181818183,18,3.0,1.0,,Gencsapáti
21,49,79,107,3.761904761904762,2.183673469387755,43,4.0,2.0,,Vép
14,59,58,133,4.142857142857143,2.2542372881355934,43,4.0,11.0,1.0,Táplánszentkereszt
19,55,75,124,3.9473684210526314,2.2545454545454544,41,3.0,7.0,4.0,Jánosháza
102,245,413,596,4.049019607843137,2.4326530612244897,174,41.0,24.0,6.0,Celldömölk
91,189,377,463,4.142857142857143,2.4497354497354498,116,18.0,42.0,13.0,Jászladány
534,1253,2117,2941,3.9644194756554305,2.347166799680766,931,152.0,135.0,35.0,Szolnok
63,107,248,292,3.9365079365079363,2.7289719626168223,63,38.0,6.0,,Rákóczifalva
32,63,120,167,3.75,2.6507936507936507,41,20.0,1.0,1.0,Kengyel
0,25,0,63,,2.52,9,1.0,14.0,1.0,Szajol
35,73,134,178,3.8285714285714287,2.4383561643835616,52,14.0,4.0,3.0,Tiszapüspöki
22,51,82,125,3.727272727272727,2.450980392156863,32,8.0,10.0,1.0,Gönc
25,79,101,178,4.04,2.2531645569620253,51,1.0,22.0,5.0,Abaújszántó
51,180,193,419,3.784313725490196,2.327777777777778,128,20.0,25.0,7.0,Lenti
47,117,181,257,3.851063829787234,2.1965811965811968,93,8.0,15.0,1.0,Tószeg
209,436,822,1051,3.9330143540669855,2.4105504587155964,326,77.0,26.0,7.0,Törökszentmiklós
61,135,248,308,4.065573770491803,2.2814814814814817,87,7.0,36.0,5.0,Zagyvarékas
14,56,56,132,4.0,2.357142857142857,39,4.0,12.0,1.0,Tiszakarád
24,84,92,183,3.8333333333333335,2.1785714285714284,67,3.0,12.0,2.0,Cigánd
17,45,62,107,3.6470588235294117,2.3777777777777778,33,7.0,5.0,,Boldva
77,199,291,447,3.779220779220779,2.2462311557788945,148,16.0,32.0,3.0,Edelény
34,92,129,220,3.7941176470588234,2.391304347826087,68,15.0,8.0,1.0,Encs
10,32,41,72,4.1,2.25,24,2.0,6.0,,Forró
44,108,188,271,4.2727272727272725,2.509259259259259,59,13.0,34.0,2.0,Cibakháza
59,92,233,278,3.9491525423728815,3.0217391304347827,37,42.0,11.0,2.0,Öcsöd
128,246,503,628,3.9296875,2.5528455284552845,165,63.0,17.0,1.0,Kunszentmárton
0,25,0,62,,2.48,10,,15.0,,Törtel
130,364,518,800,3.9846153846153847,2.197802197802198,282,19.0,54.0,9.0,Abony
4,38,14,85,3.5,2.236842105263158,32,2.0,3.0,1.0,Becsehely
22,81,80,183,3.6363636363636362,2.259259259259259,58,3.0,16.0,4.0,Letenye
183,559,753,1326,4.114754098360656,2.372093023255814,392,65.0,82.0,20.0,Nagykanizsa
20,49,78,121,3.9,2.4693877551020407,31,8.0,8.0,2.0,Zámoly
36,102,144,229,4.0,2.2450980392156863,80,7.0,10.0,5.0,Csákvár
17,62,61,139,3.588235294117647,2.2419354838709675,49,5.0,6.0,2.0,Rétság
9,27,32,70,3.5555555555555554,2.5925925925925926,17,6.0,4.0,,Dánszentmiklós
0,15,0,41,,2.7333333333333334,6,1.0,7.0,1.0,Nyáregyháza
100,239,407,552,4.07,2.309623430962343,179,26.0,30.0,4.0,Albertirsa
148,322,590,767,3.9864864864864864,2.3819875776397517,209,37.0,66.0,10.0,Pilis
50,97,196,232,3.92,2.3917525773195876,66,13.0,14.0,4.0,Ceglédbercel
85,168,337,404,3.9647058823529413,2.4047619047619047,109,22.0,30.0,7.0,Újszász
21,66,84,151,4.0,2.287878787878788,51,5.0,6.0,4.0,Újszilvás
0,24,0,68,,2.8333333333333335,3,,17.0,4.0,Tápiószele
36,87,137,198,3.8055555555555554,2.2758620689655173,63,6.0,14.0,4.0,Farmos
473,889,1870,2219,3.953488372093023,2.4960629921259843,611,188.0,68.0,22.0,Cegléd
38,90,145,216,3.8157894736842106,2.4,60,9.0,15.0,6.0,Jánoshida
51,105,206,244,4.03921568627451,2.323809523809524,73,5.0,22.0,5.0,Alattyán
74,144,298,335,4.027027027027027,2.326388888888889,108,16.0,19.0,1.0,Jászjákóhalma
120,274,498,653,4.15,2.383211678832117,198,31.0,36.0,9.0,Nagykáta
40,83,156,203,3.9,2.4457831325301207,62,18.0,3.0,,Jászszentandrás
200,386,826,944,4.13,2.4455958549222796,255,43.0,61.0,27.0,Jászapáti
88,194,387,465,4.3977272727272725,2.3969072164948453,106,13.0,67.0,8.0,Jászkisér
61,159,250,373,4.098360655737705,2.3459119496855347,113,12.0,27.0,7.0,Heves
27,76,102,190,3.7777777777777777,2.5,55,14.0,4.0,3.0,Tiszanána
21,65,83,142,3.9523809523809526,2.1846153846153844,53,4.0,6.0,2.0,Tiszabura
119,229,476,559,4.0,2.441048034934498,166,36.0,17.0,10.0,Abádszalók
91,190,376,456,4.131868131868132,2.4,136,29.0,24.0,1.0,Kunhegyes
